Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,19.0,NIDIYANGA,RAJANI A,Member,CPI(M),Woman
,,20.0,KATTAYI,A KRISHNAN,Member,INC,SC
,,1.0,PERUMBADANNA,K.M. MOHANAN,Member,CPI(M),General
,,2.0,PARAYATTUPARAMBU,JAYALAKSHMI,Member,INC,Woman
,,3.0,VADAKKUPURAM,SHEEBA SAILESH,Member,INC,General
,,4.0,KALIKULANGARA,PADMA KUMARI,Vice President,INC,Woman
,,5.0,NANDYATTUKUNNAM,SEENA SAJEEV,Member,INC,Woman
,,6.0,KUNDEKKAVU,V.K. SAJEEV,Member,INC,General
,,7.0,AYAPPILLY,C.M. RAJAGOPAL,President,INC,General
,,8.0,PALLIYAKKAL,M.D. THOMAS,Member,INC,General
,,9.0,CHATHANADU,K.A. KANAKAM,Member,INC,SC Woman
,,10.0,PULINGANADU,NISHA SHERI MOHANAN,Member,INDEPENDENT,SC Woman
,,11.0,KADAKKARA,USHA ANILKUMAR,Member,CPI(M),Woman
,,12.0,EZHIKKARA,K.N. VINOD,Member,CPI(M),SC
,,13.0,KEDAMANGALAM,SREEJA ANILKUMAR,Member,INC,Woman
,,14.0,CHEETHUKKALAM-CHAKKATHARA,A.K. MURALEEDARAN,Member,CPI,General
,,1.0,ODUVANKAD,RAJAN M,Member,INC,SC
,,2.0,KUNNATHUPARAMBU,K P SASIKUMAR,Member,CPI(M),General
,,3.0,MUDUPPULLY,RAMADAS E R,Member,CPI(M),General
,,4.0,PARUTHIPULLY,SABITHA RAJAN,Member,INC,Woman
,,5.0,PERUVALA,VIJAYAKUMARI A,Member,INC,SC Woman
,,6.0,MANIYANPARA,M R KUNJU,Member,INC,SC
,,7.0,NHETTIYODE,K DHAMAYANTHI,Member,INC,SC Woman
,,8.0,BEMMANUR,RADHA MURALI,President,INC,Woman
,,9.0,MANDAPATHINKAVU,K P SUNDARAN,Vice President,INC,General
,,10.0,PILAPULLY,M M ASANAR,Member,CPI(M),General
,,11.0,PERUNGOTTUKURUSSI,P H BHAGYALATHA,Member,INC,Woman
,,12.0,NARANGAPARAMBU,KOMALAM,Member,CPI(M),Woman
,,13.0,CHULANUR,BINU K,Member,CPI(M),SC Woman
,,14.0,VADAKKUMURI,KRISHNAN K,Member,INC,SC
,,15.0,NADUVATHAPARA,SALINI S,Member,CPI(M),Woman
,,16.0,THOTTUMUKKU,ANITHANANDAN A,Member,CPI(M),General
,,1.0,AMBEDKAR,JAYAN GOPALAN,Member,CPI(M),General
,,2.0,VESHNAL,JAMES VESHNAL,Member,INC,General
,,3.0,NALUKODY,SIBY ABRAHAM,President,INDEPENDENT,General
,,4.0,PHC,ABY VARGHESE,Member,CPI(M),General
,,5.0,HOMEO HOSPITAL,SAJI JOHN,Member,KC(M),General
,,6.0,VALLAVANCHIRA,JESSY ANTONY,Member,KC(M),Woman
,,7.0,MACHIPPALLY,PUSHPA SAMSAJ,Member,CPI(M),SC Woman
,,8.0,PALLICKACHIRA,GEETHA THOMAS,Member,INDEPENDENT,Woman
,,9.0,BIBLE COLLEGE,ANIJA BINUKUMAR,Vice President,CPI(M),Woman
,,10.0,PAIPPADU TOWN,MOHAMMED ISMAIL,Member,IUML,General
,,11.0,MARKET,M K RAJENDRAN,Member,CPI,SC
,,12.0,THURUTHIKADAVU,SHYLAMMA RAJAPPAN,Member,BJP,Woman
,,13.0,UP SCHOOL,MARIAMMA VARGHESE(OMANA JOSE),Member,INC,Woman
,,14.0,CONVENT WARD,SALIMMA JOSEPH,Member,KC(M),Woman
,,15.0,LAIKKADU,SINI OMANAKUTTAN,Member,CPI(M),Woman
,,16.0,POOVAM,SEBASTIAN JOSEPH,Member,INDEPENDENT,General
,,1.0,MOVVAR,SHANTHA KUMARI M,Member,BJP,Woman
,,2.0,KUMBADAJE,CHANDRASHEKARAN,Member,BJP,SC
,,3.0,BELLUR,USHA,Member,CPI(M),Woman
,,4.0,ADHUR,RENUKA DEVI,Member,BJP,Woman
,,5.0,DELAMPADY,USHA A P,Member,CPI(M),Woman
,,6.0,ADOOR,KUMARAN C K,Member,CPI(M),General
,,7.0,BANDADKA,O V VIJAYAN,Member,INC,General
,,8.0,KUTTIKOL,B M PRADEEP,President,CPI(M),General
,,9.0,BEDAKAM,M MINI,Vice President,CPI(M),Woman
,,10.0,KUNDAMKUZHI,OMANA P,Member,CPI(M),Woman
,,11.0,PERLADKA,SUSHEELA C,Member,CPI(M),Woman
,,12.0,MULIYAR,M KUNHAMBU NAMBIAR,Member,INC,General
,,13.0,KARADKA,LAKSHMANA K S,Member,CPI(M),ST
,,1.0,UJAMPADY,AVVAMMA,Member,CPI(M),Woman
,,2.0,DELAMPADY,NALINAKSHI.M,Member,INC,Woman
,,3.0,PARAPPA,SHIVARAMA.B,Member,INDEPENDENT,General
,,4.0,PUTHIYAMBALAM,CHANDRASHEKHARA A,Vice President,CPI(M),General
,,5.0,DEVARADUKKA,IBRAHIM.M,Member,CPI(M),General
,,6.0,BELLAKKANA,JAYANTHI.K,Member,INDEPENDENT,Woman
,,7.0,PAYARADKA,VIJAYAN.M.K,Member,CPI(M),ST
,,8.0,MALLAMPARA,KUNHIKKANNAN N,Member,CPI(M),General
,,9.0,KATTIPPARA,ABDULLA KUNHI,Member,CPI(M),General
,,10.0,BALAVANTHADKA,REVATHI,Member,INDEPENDENT,Woman
,,11.0,PANDY,RATHAN KUMAR,Member,CPI(M),General
,,12.0,ADOOR,CHANDRAVATHI.N,Member,INC,Woman
,,13.0,EDAPARAMBA,UMESH .Y,Member,CPI(M),SC
,,14.0,MOGAR,GEETHA,Member,BJP,Woman
,,15.0,PALLANGOD,RASEENA YOOSUF,Member,IUML,Woman
,,16.0,MAYYALA,GEETHA.M,President,CPI(M),Woman
,,1.0,PAZHANGALAM NORTH,M RAHIM,Member,CPI(M),General
,,2.0,NALLILA,JIBI JACOB MATHEW,Member,INC,Woman
,,3.0,NALLILA EAST,K U SHIJU KUMAR,Vice President,CPI(M),General
,,4.0,PULIYILA NORTH,J THULASEEDHARAN PILLAI,Member,CPI,General
,,5.0,PULIYILA,K SINDHU,Member,CPI(M),Woman
,,6.0,ELAVOOR,K USHAKUMARY,Member,CPI(M),Woman
,,7.0,PALLIMON NORTH,SOBHANA KUMARY,Member,INC,Woman
,,8.0,MALEVAYAL,B AJAYAKUMAR,Member,INC,General
,,9.0,MEYYANNOOR,G SASIDHARAN PILLAI,Member,INC,General
,,10.0,VELICHIKKALA,G RADHAKRISHNA PILLAI,Member,CPI(M),General
,,11.0,KUNDUMON,SHEEJA,Member,PDP,SC Woman
,,12.0,PALLIMON,PRASANNA RAMACHANDRAN,President,CPI(M),Woman
,,13.0,KULAPPADAM SOUTH,SULBETH BEEVI S,Member,CPI(M),Woman
,,14.0,MUTTAKKAVU NORTH,K NISAMUDEEN,Member,CPI(M),General
,,15.0,MUTTAKKAVU SOUTH,SHEELA DUSHANTHAN,Member,INC,SC Woman
,,16.0,MUTTAKKAVU WEST,SUBIRIYA BEEVI,Member,INC,Woman
,,17.0,NEDUMPANA SOUTH,T N MANZOOR,Member,CPI(M),General
,,18.0,KULAPPADAM NORTH,A NAZIMUDEEN LEBBA,Member,INC,General
,,19.0,NEDUMPANA,C RAJENDRAPRASAD,Member,INC,General
,,20.0,KALAKKAL,JOSEY ROY,Member,CPI(M),Woman
,,21.0,NEDUMPANA NORTH,VIJAYAMMA BABU,Member,CPI(M),Woman
,,22.0,PAZHANGALAM SOUTH,S GIRIJA KUMARY,Member,CPI(M),Woman
,,23.0,PAZHANGALAM,K RAJENDRAN,Member,CPI(M),SC
,,1.0,VENGANELLOOR PADINJATUMURI,C. SURESH,Member,CPI(M),General
,,2.0,VENGANELLOOR NORTH,SUNIJA SURESH,Member,CPI(M),SC Woman
,,3.0,METHUK,ELLISSERI VISWANATHAN ELLISSERI,Member,INDEPENDENT,General
,,4.0,NATIANCHIRA,ASHARAF A. K,Member,INDEPENDENT,General
,,5.0,VENGANELLOOR KIZHAKUMURI,CHELLAMMA TEACHER,Member,CPI(M),Woman
,,6.0,MEPPADAM,LISSY THOMAS,President,INC,Woman
,,7.0,PULAKOD VADAKUMURI,T A KESAVANKUTTI,Member,INC,General
,,8.0,PULAKOD THEKUMURI,SUDEVAN PALLATH,Vice President,INC,General
,,9.0,ADAKOD,RATHI VENUGOPALAN,Member,INC,Woman
,,10.0,PANAMKUTTI,USHA RADHAKRISHNAN,Member,INC,SC Woman
,,11.0,KALIYAROAD,P C MANIKANDAN,Member,INC,SC
,,12.0,PANGARAPPILLY,VIJAYALAKSHMI POOLAKKAL POOLAKKAL,Member,CPI(M),Woman
,,13.0,ANTHIMAHAKALENKAVU,A ASSANAR,Member,INC,General
,,14.0,PATHUKUDI,P M RAFEEQ,Member,IUML,General
,,15.0,VATULLI,BINDHU MARKOSE,Member,INC,Woman
,,16.0,KURUMALA,GOPAKUMAR (GOPAN),Member,INC,General
,,17.0,THOTEKOD,LATHA PRABHAKARAN,Member,CPI(M),Woman
,,18.0,THONOORKARA,RAJI SURESH,Member,CPI(M),Woman
,,19.0,THONOORKARA WEST,RAJANI KRISHNAKUMAR,Member,INC,Woman
,,20.0,PARAPPURAM,V K NIRMALA VADAKEKARA,Member,INC,Woman
,,21.0,CHELAKKARA,RASHEED C V,Member,INDEPENDENT,General
,,22.0,CHELAKKARA NORTH,P N UNNIKRISHNAN,Member,INC,General
,,1.0,CHETHANAMKURISI,ABDUL RAFEEQE C K,Member,INC,General
,,2.0,ANAMANGAD,AJAYAN U,Member,CPI(M),General
,,3.0,VALAMKULAM,SAILAJA M P,Member,CPI(M),Woman
,,4.0,ODAMALA,SASIDARAN C P,Member,IUML,SC
,,5.0,PARIYAPURAM,HABEEBA K,Member,CPI(M),Woman
,,6.0,EDAYKKAL,SANTHA K,Member,IUML,SC Woman
,,7.0,VAZHENGADA,UMMER HAJI C.K,Member,IUML,General
,,8.0,VATTAPARAMPU,KHADEEJA P T,Member,IUML,Woman
,,9.0,PARAKKANNI,PATHUMMATH SUHARA K,Member,IUML,Woman
,,10.0,KODAKKAPARAMBU,SUMATHI N,Member,CPI(M),Woman
,,11.0,KAMBRAM,HAMZA TK,Member,IUML,General
,,12.0,ALIPARAMPU,VILASINI K,Member,CPI(M),Woman
,,13.0,KUNNANATH,SHOUKKATHALI P,Member,CPI(M),General
,,14.0,THEKKEPURAM,AYSHAKUTTY P,Vice President,INC,Woman
,,15.0,KUTHUPARAMP,SHEELATH VEERANKUTTY,Member,IUML,General
,,16.0,THOOTHA,HAMSA P,Member,CPI(M),General
,,17.0,PAARAL,SAJITHA P,Member,INC,Woman
,,18.0,EDATHARA,ABU HAJI T,Member,IUML,General
,,19.0,PUNNAKODU,NASEEMA,Member,IUML,Woman
,,20.0,MUZHANNAMANNA,LEELA MOHANDAS T,Member,INC,Woman
,,21.0,PALOLIPARAMPU,ALI AKBAR K,President,IUML,General
,,1.0,IDAVANKADU,VILASINI KARUNAKARAN,President,INC,Woman
,,2.0,THURUTHIMEL,SREEKALESHAN,Member,CPI(M),SC
,,3.0,CHERIYANADU,INDIRA CHANDRAN,Member,INC,Woman
,,4.0,ARIYANNURSERY,M.A SASI KUMAR,Member,CPI(M),General
,,5.0,MAMPRA,SUGITHA MOHAN,Member,BJP,Woman
,,6.0,PHC WARD,MANOJ MOHAN,Member,CPI(M),General
,,7.0,ALAKKODE,SREE KUMARI,Member,INC,Woman
,,8.0,CHERUMIKKAD,USHA VAKKAYIL,Member,INC,Woman
,,9.0,CHERUVALLOOR,SATHEESH CHERUVALLOOR,Member,BJP,General
,,10.0,NJANJUKADU,SHINY SHANAVAS,Member,CPI,Woman
,,11.0,KOLLAKADAVU,K.M SALIM,Member,CPI,General
,,12.0,KADAYIKKADU,CHANDRAMATHI.K.,Member,CPI(M),SC Woman
,,13.0,RAILWAY STATION WARD,MAYA,Member,INC,Woman
,,14.0,ATHIMANCHERI,M REJENESH,Vice President,INC,General
,,15.0,MANDAPARIYARAM,JAMES MATHEW,Member,CPI(M),General
,,1.0,JAIGIRI,P.C KURIAN,Member,KC(M),General
,,2.0,ASUPATHRI,SUJA BABU,Member,KC(M),Woman
,,3.0,KANJIRAMKULAM,JOJI ABRAHAM,Member,KC(M),General
,,4.0,SUBSTATION,SOPHIAMMA PETER,Member,INDEPENDENT,Woman
,,5.0,KOZHA,MINI MATHAI,Member,INDEPENDENT,Woman
,,6.0,COLLEGE,LEELAMMA THOMAS,Vice President,INC,Woman
,,7.0,CLARAT BHAVAN,ADV.K K SASIKUMAR,Member,CPI(M),General
,,8.0,KALIKAVU,M.N RAMESAN,Member,INDEPENDENT,General
,,9.0,GOVINDAPURAM,REMA RAJU,Member,INDEPENDENT,Woman
,,10.0,KALATHOOR,T.S REMADEVI,President,INDEPENDENT,Woman
,,11.0,NAZRATH HILL,EMMANUEL GEORGE,Member,KC(M),General
,,12.0,PAKALOMATTOM,ANCY JOY,Member,KC(M),Woman
,,13.0,INDIRAGIRI,SREENIVASAN K,Member,KC(M),SC
,,14.0,THOTTUVA,SIBY SEBASTIAN,Member,INDEPENDENT,General
,,1.0,KANNANAKUZHY WEST,RADHAKRISHNAN UNNITHAN K.S,Member,INC,General
,,2.0,KANNANAKUZHY,HARIKUMAR,Member,INC,General
,,3.0,KANNANAKUZHY EAST,M.NIRMALA,Member,CPI(M),Woman
,,4.0,CHARUMMOODU,LEENA SIVANKUTTY,Member,INC,SC Woman
,,5.0,PEEROORKARAZHMA,LETHA PRESANNAN,Vice President,INC,Woman
,,6.0,KOTTAIKATTUSERRY NORTH,N.RAHIM,Member,CPI,General
,,7.0,KOTTAIKATTUSERRY,N.SREEKUMAR,Member,INC,General
,,8.0,GURUNATHANKULANGARA,SARASWATHI.R KURUP,Member,INC,Woman
,,9.0,PUTHANCHANTHA,M.K.CHELLAPPAN,Member,JSS,SC
,,10.0,KIZHAKKEMURI,VIJAYAMMA RAGHU,Member,INC,Woman
,,11.0,THEKKEMURI,SAJANA RAJ,Member,IUML,SC Woman
,,12.0,IRAPPANPARA,A.RAZILA RAHIM,Member,CPI,Woman
,,13.0,THAMARAKULAMTOWN,JALEELA HABEEB,Member,INC,Woman
,,14.0,CHATHIYARA SOUTH,AMPILI.S,Member,CPI(M),Woman
,,15.0,CHATHIYARA NORTH,G.MURALEEDHARAN PILLAI (G.VENU),Member,INC,General
,,16.0,VEDARAPLAVU,SIVASANKARAN NAIR,President,INC,General
,,17.0,CHETTARIKKAL,B.THULASIDAS,Member,CPI(M),General
,,1.0,MAZHOORKAVU,SUMALATHA K,Member,INC,SC Woman
,,2.0,PILAPULLY,VASUDHAKUMARI,Member,INC,Woman
,,3.0,MULLAKKALKOLUMBU,NIRMALA,Member,INC,Woman
,,4.0,POKKUNNI,USHA A,Member,INC,Woman
,,5.0,THANKAYAM,SARITHA K,Member,SJ(D),SC Woman
,,6.0,KOOTHANPAK,KALADHARAN K,Member,INC,SC
,,7.0,MENANGATH,BINDHU R,Vice President,INC,Woman
,,8.0,MADATHANARA,VETRIVEL A,Member,INC,General
,,9.0,V P THARA,P JAYAPRAKASH ALIAS KUTTAN,Member,INC,General
,,10.0,PALLAM,P A RAJEEV,Member,INC,General
,,11.0,KEEZHCHIRA,RAGINI,Member,INC,Woman
,,12.0,PATTATHALACHI,A VAHAB,Member,INC,General
,,13.0,KAKKARAKALAM,K S SAKKIR HUSSAIN,President,INC,General
,,1.0,ETTUKUDUKKA,MALLIKA K P,Member,CPI(M),Woman
,,2.0,KANAM,NARAYANAN KOTTAMBATH,Member,CPI(M),General
,,3.0,CHALLACHAL,KALLOLICKAL K C VARGESE,Member,CPI(M),General
,,4.0,CHOORAL,RAVINDRAN P PALANGATTU,President,CPI(M),General
,,5.0,VADAVANTHOOR,RADHA P,Member,CPI(M),Woman
,,6.0,MATHIL,E P V KUNHIKRISHNAN,Member,CPI(M),General
,,7.0,ALAKKAD,K SARASWATHI,Member,CPI(M),Woman
,,8.0,KALEESWARAM,MOOLACHERI NARAYANAN,Member,CPI(M),General
,,9.0,KARINKUZHI,USHA P,Vice President,CPI(M),Woman
,,10.0,KUNDAYAMKOVVAL,K LAKSHMANAN,Member,CPI(M),SC
,,11.0,THAZHEKKURUNTH,SHEEJA C,Member,CPI(M),Woman
,,12.0,KANKOL,OMANA P P,Member,CPI(M),Woman
,,13.0,PAPPARATTA,K V RAMAKRISHNAN,Member,CPI(M),General
,,14.0,KAKKIRIYADU,K C PUSHPAVALLY,Member,CPI(M),Woman
,,1.0,ECHENNUR,HARSHAVARDHANAN,Member,INC,General
,,2.0,KANDANNUR,P SREEDHARANMASTER,President,INC,General
,,3.0,MARUTHAD,P.BEEVI MUSTHAFA,Member,IUML,Woman
,,4.0,AMBALAPAD,SATHYABHAMA,Member,SJ(D),Woman
,,5.0,IRUVALLUR,VANAMALI,Member,CPI(M),General
,,6.0,PERUMPOYIL,KAVITHA P.K,Member,INC,Woman
,,7.0,PALLIPPOYIL,BABEESH T M,Member,INC,SC
,,8.0,NELLIATHTHAZHAM,SALEENA ABBAS,Member,INC,Woman
,,9.0,PALATH,SANTHA MUTHIYERI,Member,CPI(M),Woman
,,10.0,UTTUKULAM,SHANTHA KUMARI K. K.,Member,CPI(M),Woman
,,11.0,MAMMILITHAZHAM,DINESAN P,Member,CPI(M),General
,,12.0,MUTHUVATTUKUNNU,GOURI PUTHIYOTH,Vice President,INC,Woman
,,13.0,KUMARASWAMI,VALSALA. T.,Member,CPI(M),Woman
,,14.0,KALAMKOLLITHAZHAM,V. JTHENDRANATH,Member,INC,General
,,15.0,ATHIYANATHIL THAZHAM,PUSHPA K. P.,Member,INC,SC Woman
,,16.0,THACHANKUNNU,NOUSHAD M. M.,Member,NCP,General
,,17.0,CHELANNUR,SUNIL PRAKASH A,Member,INC,General
,,18.0,PUTHIYEDATH THAZHAM,LEENA P.,Member,INC,Woman
,,19.0,OLOPPARA,PREMALEELA O,Member,CPI(M),SC Woman
,,20.0,POROTH THAZHAM,SOMANATHAN T.K,Member,CPI(M),General
,,21.0,CHIRAKKUZHI,SURESHKUMAR,Member,SJ(D),General
,,1.0,OTTAMASSERY VADAKKU,SINI SALAS,Vice President,INC,Woman
,,2.0,ILLICKAL,JOSEPH KAMBAKKARAN,Member,INC,General
,,3.0,PANDARATHAI,K.P.AGOSHKUMAR,President,INC,General
,,4.0,THANKEY,JANCY JOY,Member,INC,Woman
,,5.0,KADAKKARAPPALLY,SATHI ANILKUMAR,Member,INDEPENDENT,Woman
,,6.0,PANCHAYAT OFFICE,JOTHYMOL(SANDHYA),Member,INDEPENDENT,Woman
,,7.0,KOTTARAM,A.A.PONNAPPAN,Member,INC,SC
,,8.0,KANDAMANGALAM,JAGADEESH,Member,JSS,General
,,9.0,POWERHOUSE,SUSHAMA(USHA) SADASIVAN,Member,INC,Woman
,,10.0,MANJADIKKAL,SHAJI T M,Member,CPI(M),General
,,11.0,KUNJITHAI,MERLIN,Member,CPI,Woman
,,12.0,THAICKAL BEACH,ROSAMMA VARGHEES,Member,INC,Woman
,,13.0,VATTAKKARA,T.V.DEVADAS,Member,CPI(M),General
,,14.0,OTTAMASSERI THEKKU,JAMES CHINKUTHARA,Member,INC,General
,,1.0,KOLAPPURAM EAST,SHEEJA CHANDRAN,Member,INC,Woman
,,2.0,KUTTOOR NORTH,K.P.HUSSAIN KUNHUTTY,Member,IUML,General
,,3.0,POONKUDAYA,KOOLIPILAKKAL HASEENA FASAL,President,IUML,Woman
,,4.0,PAKKADAPPURAYA,PAKKADA KADEEJA,Member,IUML,Woman
,,5.0,BALIKKAD,P.P.SAFEER BABU,Vice President,INC,General
,,6.0,KANNATTIPPADI,POOVANCHERI ABDU LATHEEF,Member,IUML,General
,,7.0,GANDHIKKUNNU,KALLAN MOOSA,Member,INC,General
,,8.0,VENGARA TOWN,N.T.MAIMOONA,Member,INDEPENDENT,Woman
,,9.0,NELLIPARAMBU,KATTIYADAN ABHILASHKUMAR,Member,IUML,SC
,,10.0,AREEKKULAM,KHADHEEJA SAMSU,Member,INDEPENDENT,Woman
,,11.0,KURUVIL KUNDU,ANCHUKANDAN SALEEM BAVA,Member,INDEPENDENT,General
,,12.0,CHINAKKAL,KANKADAKKADAVAN PATHUMMU,Member,IUML,Woman
,,13.0,MANHEMAD,KURUKKAN ALAVIKUTTY,Member,IUML,General
,,14.0,PUTHANANGADI,PARANGODATH BIYYATHUTTI ABUHAJI,Member,INDEPENDENT,Woman
,,15.0,MUTHALAMAD,RAMLA HAMZA THAYYIL,Member,IUML,Woman
,,16.0,ADAKKAPURA,A.K.MOHAMMEDALI,Member,IUML,General
,,17.0,PANDIKASALA,UMMINIKKADAVATH ABDURAHIMAN,Member,INC,General
,,18.0,MANNILPULAKKAL,E.MOHAMMEDALI,Member,INDEPENDENT,General
,,19.0,KACHERIPADI,PARAMBIL ASMA KHADAR,Member,IUML,Woman
,,20.0,PARAMBILPADI,MOIDEENKOYA.T,Member,IUML,General
,,21.0,PANGATTUKUNDU,K.KHADHEEJABI TEACHER,Member,IUML,Woman
,,22.0,PATHUMOOCHI,ATTAKKULAYAN NAFEESA,Member,IUML,Woman
,,23.0,KOORIYAD,KUTTIKKAI RADHA,Member,INC,Woman
,,1.0,KATAMPAZHIPURAM,NARAYANAN.A,Member,INC,General
,,2.0,KATAMPAZHIPURAM NORTH,BEENA.M.K,Member,CPI(M),Woman
,,3.0,MANDAZHI,N.UNNIKRISHNAN,Member,CPI(M),General
,,5.0,NALISSERY,SILVY JOHN,Member,INC,Woman
,,6.0,CHOLAPPADAM,C.RAJAN,Member,INC,SC
,,7.0,NEELALA,B.MUHAMMAD,Member,IUML,General
,,8.0,KONIKAZHI,GIRIJA CHANDRAN,Member,CPI(M),SC Woman
,,9.0,UMMANAZHI,T.SINDHU,Member,CPI(M),Woman
,,10.0,KUNIPPARA,C.BALAKRISHNAN,President,CPI(M),General
,,11.0,AZHIYANOOR,MANIKANDAN M,Member,INC,General
,,12.0,VAYILLYAMKUNNU,S.THANKAM,Member,CPI(M),SC Woman
,,13.0,PULLUNDASSERY,K.SREELATHA,Vice President,CPI(M),Woman
,,14.0,VATTAMTHIRUTHI,INDIRA GUPTHA,Member,INC,Woman
,,15.0,PALARI,K.S.RAJANI,Member,CPI(M),Woman
,,16.0,ALANGAD,C.SREELATHA,Member,CPI(M),Woman
,,17.0,PATTIMALA,V.VIDYANANDAN,Member,CPI(M),SC
,,18.0,VETTEKKARA,P.A.RASHEED,Member,CPI(M),General
,,1.0,PONMUDY,MERCY JOSE,Member,INC,Woman
,,2.0,MARAKKANAM,ANISH BALAN,Member,CPI(M),General
,,3.0,KOMBODINJAL,BINDU SANTY,Member,INDEPENDENT,Woman
,,4.0,MUNIYARA NORTH,SALILA MURALIDHARAN,Member,CPI(M),Woman
,,5.0,MUNIYARA SOUTH,ASHA BIJUKUMAR,Member,CPI(M),Woman
,,6.0,MULLARIKUDY,JOSE MATHEW,Member,INC,General
,,7.0,PERINCHAMKUTTY,JAISON ANTONY,Member,INC,General
,,8.0,PANIKKANKUDY,SHINY SAJEEVAN,Member,INDEPENDENT,Woman
,,9.0,IRUMALAKKAPPU,SANIL MATHEW,Member,INDEPENDENT,General
,,10.0,PARATHODU,ANCY VINOD,Member,INC,Woman
,,11.0,KAMBILIKANDAM,JAYA VIJAYAN,President,INC,Woman
,,12.0,CHINNAR,JOSE MULAMCHIRA,Member,INC,General
,,13.0,MANKUVA,RAJAN GOPI,Member,KC(M),SC
,,14.0,PANAMKUTTY,MALKA T P,Vice President,KC(M),General
,,15.0,MUKKUDAM,SASIKUMARAN,Member,INC,General
,,16.0,MUTHIRAPPUZHA,MINI SUDHAKARAN,Member,INC,Woman
,,17.0,KONNATHADY SOUTH,RAGHAVAN KELAN,Member,CPI(M),General
,,18.0,KONNATHADY NORTH,VOCTORIA WILSON,Member,INC,Woman
,,19.0,VIMALACITY,AMINA NASAR,Member,INDEPENDENT,Woman
,,1.0,KURICHIYIL,SUHARA KHALID,Member,IUML,Woman
,,2.0,KAREEKKUNNU,A.V.CHANDRADASAN,Member,CPI(M),General
,,3.0,IYYATHUMKADU,P.SREEJA,President,CPI(M),Woman
,,4.0,EDANNOOR,A.K.PRAKASH BABU,Member,CPI(M),SC
,,5.0,PERUMUNDERI,P.K.SUNITHA,Member,INC,Woman
,,6.0,MANGOTTUVAYAL,ASLAM.T.H,Member,IUML,General
,,7.0,MANGAD,K.SIJU,Member,CPI(M),General
,,8.0,PALLIPRAM,REEJA.C.K,Member,CPI(M),Woman
,,9.0,PERINGADI,SAJITHA.N.K,Member,INC,Woman
,,10.0,NEW MAHE TOWN,A.V.KADAR MASTER,Vice President,INDEPENDENT,General
,,11.0,AZEEKKAL,P.PADMAJA,Member,CPI(M),Woman
,,12.0,CHAVOKKUNNU,NAJMA NIZAR,Member,IUML,Woman
,,13.0,KURICHIYIL KADAPPURAM,RIZAL.P.C,Member,IUML,General
,,1.0,ERINJIPPADI,SAFURA,Member,INC,Woman
,,2.0,KALLINGAL,LAILA ASHARAF,Member,INC,Woman
,,3.0,PARAYANGAD,ELAYAMATTIL MOHAMEDALI (ALIMON),Member,INC,General
,,4.0,KOUKKANAPPETTI,V K FASALUL ALI,President,INC,General
,,5.0,KOCHANNUR,ETTAMTHARAYIL FATHIMA JAMALUDHEEN,Member,INC,Woman
,,6.0,NJAMANENGAD,R. M BACKER .,Member,INC,General
,,7.0,CHAKKITHARA,PREETHA UNNI,Member,INC,Woman
,,8.0,ANJUR,M. GIREESH .,Member,INC,General
,,9.0,VAILATHUR,SUMATHI RAJAN,Member,INC,Woman
,,10.0,NAYARANGADI,JYOTHI SASI,Vice President,INC,Woman
,,11.0,PADINJAKKARA VAILATHOOR,A.M.FAISAL .,Member,CPI(M),General
,,12.0,KALLOOR,ABDUL RASHEED .,Member,INC,General
,,13.0,VATTAMPAADAM,GILSY THALAKKOTTUR,Member,INC,Woman
,,14.0,KOMBANTHARA,THEKKUMURIY KUNHAHAMED,Member,INC,General
,,15.0,THEKKEKKADU,K.K APPU .,Member,INC,General
,,16.0,THIRUVALAYANNUR,ALPHONSA JOHNSON,Member,CPI(M),Woman
,,1.0,Perumon West,VINEETHA. I,Member,CPI(M),Woman
,,2.0,Perumon East,J. ANILKUMAR,Member,INC,SC
,,3.0,Perumon PHC,SUJAMOL,Member,CPI(M),Woman
,,4.0,Railway Station,G. ANANTHAKRISHNA PILLAI,Member,BJP,General
,,5.0,Chemmakkad,THULASIBAI,Member,CPI(M),Woman
,,6.0,CHARUKAD,SIVAPRASAD .A,Member,INC,General
,,7.0,Chathinamkulam,A.JAMEELA BEEVI,Member,INC,Woman
,,8.0,Gurukulam,PRIYA MOHAN. A,Member,CPI(M),Woman
,,9.0,PAMPALIL,SUJATHAN.S,Member,CPI(M),General
,,10.0,Kandachira,JAYASREE MADHULAL,Member,INC,Woman
,,11.0,Thannikkamukku,DINSHA.J.S,Member,INC,General
,,12.0,Chonamchira,SHEELAKUMARI.O,Member,INC,General
,,13.0,AMPAZHAVAYAL,DR. K. RAJASEKHARAN,President,CPI(M),General
,,14.0,Panayam,T. VIKRAMAN PILLAI,Member,CPI(M),General
,,15.0,Kovilmukku,SHYLAJA.K,Vice President,RSP,SC Woman
,,16.0,Chittayam,J. PRAMEELA,Member,INC,Woman
,,1.0,CHIRAKKARA,NASHEEDA,Member,IUML,Woman
,,2.0,PAYYOLIANGADI,PODIYADI NASEER,Member,IUML,General
,,3.0,THOLERI,SHYBA.K.M,Member,SJ(D),Woman
,,4.0,KULUPPA,AYISHA,Member,IUML,Woman
,,5.0,IRINGATH NORTH,O.P.LEELA,Vice President,INC,SC Woman
,,6.0,IRINGATH KULANGARA,LEENA,Member,CPI(M),Woman
